table_name,column_name
ACCOUNTING_GENERAL_LEDGER_ADDITIONAL_INFORMATION,TRANSACTION_DESCRIPTION_1
ACCOUNTING_GENERAL_LEDGER_ADDITIONAL_INFORMATION,TRANSACTION_DESCRIPTION_2
ACCOUNTING_GENERAL_LEDGER_ADDITIONAL_INFORMATION,TRANSACTION_DESCRIPTION_3
ACCOUNTING_GENERAL_LEDGER_ADDITIONAL_INFORMATION,TRANSACTION_DESCRIPTION_4
ACCOUNTING_GENERAL_LEDGER_ADDITIONAL_INFORMATION,TRANSACTION_DESCRIPTION_5
ACCOUNTING_GENERAL_LEDGER_ADDITIONAL_INFORMATION,ADT_LOAD_DATE
ACCOUNTING_GENERAL_LEDGER_ADDITIONAL_INFORMATION,ADT_FILE_SOURCE
ACCOUNTING_GENERAL_LEDGER_ADDITIONAL_INFORMATION,ADT_HASH_KEY
ACCOUNTING_GENERAL_LEDGER_ADDITIONAL_INFORMATION,DBT_SCD_ID
ACCOUNTING_GENERAL_LEDGER_ADDITIONAL_INFORMATION,DBT_UPDATED_AT
ACCOUNTING_GENERAL_LEDGER_ADDITIONAL_INFORMATION,DBT_VALID_FROM
ACCOUNTING_GENERAL_LEDGER_ADDITIONAL_INFORMATION,DBT_VALID_TO
ACCOUNTING_ACCOUNT_RECONCILIATION,ANB_ID
ACCOUNTING_ACCOUNT_RECONCILIATION,ANB_BANKTEL_UNAPPROVEDSERVICEACCOUNTS_ID
ACCOUNTING_ACCOUNT_RECONCILIATION,ACCOUNT_NUMBER
ACCOUNTING_ACCOUNT_RECONCILIATION,ACCOUNT_TYPE
ACCOUNTING_ACCOUNT_RECONCILIATION,ANB_ACCOUNT_ID
ACCOUNTING_ACCOUNT_RECONCILIATION,GL_BRANCH_NUMBER
ACCOUNTING_ACCOUNT_RECONCILIATION,GL_ACCOUNT_NUMBER
ACCOUNTING_ACCOUNT_RECONCILIATION,COST_CENTER
ACCOUNTING_ACCOUNT_RECONCILIATION,PRODUCT_CODE
ACCOUNTING_ACCOUNT_RECONCILIATION,SHORT_NAME
ACCOUNTING_ACCOUNT_RECONCILIATION,CUSTOMER_NUMBER
ACCOUNTING_ACCOUNT_RECONCILIATION,ANB_CUSTOMER_ID
ACCOUNTING_ACCOUNT_RECONCILIATION,FULL_RECONCILIATION
ACCOUNTING_ACCOUNT_RECONCILIATION,ACTIVATE_POSITIVE_PAY
ACCOUNTING_ACCOUNT_RECONCILIATION,PARTIAL_RECONCILIATION
ACCOUNTING_ACCOUNT_RECONCILIATION,DEPOSIT_RECONCILIATION
ACCOUNTING_ACCOUNT_RECONCILIATION,ADT_LOAD_DATE
ACCOUNTING_ACCOUNT_RECONCILIATION,ADT_FILE_SOURCE
ACCOUNTING_ACCOUNT_RECONCILIATION,ADT_HASH_KEY
ACCOUNTING_ACCOUNT_RECONCILIATION,DBT_SCD_ID
ACCOUNTING_ACCOUNT_RECONCILIATION,DBT_UPDATED_AT
ACCOUNTING_ACCOUNT_RECONCILIATION,DBT_VALID_FROM
ACCOUNTING_ACCOUNT_RECONCILIATION,DBT_VALID_TO
ACCOUNTING_ACCOUNT_RECONCILIATION_ITEM,ANB_ID
ACCOUNTING_ACCOUNT_RECONCILIATION_ITEM,ANB_SILVERLAKE_ARITEM_T_ID
ACCOUNTING_ACCOUNT_RECONCILIATION_ITEM,ACCOUNT_NUMBER
ACCOUNTING_ACCOUNT_RECONCILIATION_ITEM,ACCOUNT_TYPE
ACCOUNTING_ACCOUNT_RECONCILIATION_ITEM,ANB_ACCOUNT_RECONCILIATION_ID
ACCOUNTING_ACCOUNT_RECONCILIATION_ITEM,SERIAL_NUMBER
ACCOUNTING_ACCOUNT_RECONCILIATION_ITEM,ISSUED_AMOUNT
ACCOUNTING_ACCOUNT_RECONCILIATION_ITEM,PAID_AMOUNT
ACCOUNTING_ACCOUNT_RECONCILIATION_ITEM,PAYEE
ACCOUNTING_ACCOUNT_RECONCILIATION_ITEM,ISSUE_DATE
ACCOUNTING_ACCOUNT_RECONCILIATION_ITEM,PAID_DATE
ACCOUNTING_ACCOUNT_RECONCILIATION_ITEM,DDA_BATCH_NUMBER
ACCOUNTING_ACCOUNT_RECONCILIATION_ITEM,DDA_SEQUENCE_NUMBER
ACCOUNTING_ACCOUNT_RECONCILIATION_ITEM,ROW_ID
ACCOUNTING_ACCOUNT_RECONCILIATION_ITEM,ADT_LOAD_DATE
ACCOUNTING_ACCOUNT_RECONCILIATION_ITEM,ADT_FILE_SOURCE
ACCOUNTING_ACCOUNT_RECONCILIATION_ITEM,ADT_HASH_KEY
