,target_table,target_column,target_field,source_table,source_column,confidence_score,mapping_type,business_reasoning,llm_provider,llm_enhanced,langgraph_iterations,final_confidence,improvement_attempted,source_matches_count,data_quality_concerns,alternate_mappings_count,processing_timestamp,batch_number,is_test_record
2685,ACCOUNT_PROFIT,AGE,ACCOUNT_PROFIT.AGE,STAGSEARCHFORPARTY,AGE,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T17:22:51.611280,27,false
2688,ACCOUNT_PROFIT,CITY,ACCOUNT_PROFIT.CITY,STAGBANKMATCH,CITY,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T17:22:58.873112,27,false
2710,ACCOUNT_PROFIT,STATE,ACCOUNT_PROFIT.STATE,STAGBANKMATCH,STATE,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T17:23:58.322729,28,false
2712,ACCOUNT_PROFIT,TERM,ACCOUNT_PROFIT.TERM,STAGLOANRATEPMTNOTICE,TERM,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T17:24:03.077135,28,false
2817,ACCOUNT_STATUS,STATUS,ACCOUNT_STATUS.STATUS,VIEW_ESC_HIST,STATUS,100,banking_rule,Account operational status indicator,banking_rules,false,1,100,false,10,,2,2025-06-17T17:29:51.493938,29,false
2830,ACCOUNT_SUBSCRIBER_INFORMATION,LAST_NAME,ACCOUNT_SUBSCRIBER_INFORMATION.LAST_NAME,STAGBANKMATCH,LAST_NAME,100,banking_rule,Customer last name for identification,banking_rules,false,1,100,false,10,,2,2025-06-17T17:30:28.989239,29,false
2831,ACCOUNT_SUBSCRIBER_INFORMATION,FIRST_NAME,ACCOUNT_SUBSCRIBER_INFORMATION.FIRST_NAME,STAGBANKMATCH,FIRST_NAME,100,banking_rule,Customer first name for identification,banking_rules,false,1,100,false,10,,2,2025-06-17T17:30:30.288369,29,false
2835,ACCOUNT_SUBSCRIBER_INFORMATION,CITY,ACCOUNT_SUBSCRIBER_INFORMATION.CITY,STAGBANKMATCH,CITY,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T17:30:41.721433,29,false
2836,ACCOUNT_SUBSCRIBER_INFORMATION,STATE,ACCOUNT_SUBSCRIBER_INFORMATION.STATE,STAGBANKMATCH,STATE,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T17:30:43.029502,29,false
2995,ACCOUNT_TRADES,ACCOUNT_ID,ACCOUNT_TRADES.ACCOUNT_ID,STAGSEARCHFORPARTY,ACCOUNTNBR,86,banking_rule,Account unique identifier for banking operations,banking_rules,false,1,86,false,10,,2,2025-06-17T17:39:58.755429,30,false
3048,ACCOUNT_TRADE_BLOCKS,NAME,ACCOUNT_TRADE_BLOCKS.NAME,STAGLOANTRIAL,NAME,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T17:42:47.654215,31,false
3159,ACCOUNT_TRUST_ACCOUNT,COMMENTS,ACCOUNT_TRUST_ACCOUNT.COMMENTS,WORKITEMCLASSACTIONRESULT,COMMENTS,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T17:48:50.525791,32,false
3244,ACCOUNT_TRUST_FEE_SCHEDULES,NAME,ACCOUNT_TRUST_FEE_SCHEDULES.NAME,STAGLOANTRIAL,NAME,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T17:53:29.250048,33,false
3259,ACCOUNT_TRUST_HOLDINGS,ACCOUNT_ID,ACCOUNT_TRUST_HOLDINGS.ACCOUNT_ID,STAGSEARCHFORPARTY,ACCOUNTNBR,86,banking_rule,Account unique identifier for banking operations,banking_rules,false,1,86,false,10,,2,2025-06-17T17:54:17.257032,33,false
3262,ACCOUNT_TRUST_HOLDINGS,SYMBOL,ACCOUNT_TRUST_HOLDINGS.SYMBOL,SECURITYVALUE,SYMBOL,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T17:54:24.304059,33,false
3322,ACCOUNT_TRUST_TYPE,PRODUCT,ACCOUNT_TRUST_TYPE.PRODUCT,VIEW_WH_ACCTCOMMON,PRODUCT,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T17:58:01.421047,34,false
