,target_table,target_column,target_field,source_table,source_column,confidence_score,mapping_type,business_reasoning,llm_provider,llm_enhanced,langgraph_iterations,final_confidence,improvement_attempted,source_matches_count,data_quality_concerns,alternate_mappings_count,processing_timestamp,batch_number,is_test_record
0,ACCOUNT_ACH_BATCH_LIMIT_REPORT,ANB_ID,ACCOUNT_ACH_BATCH_LIMIT_REPORT.ANB_ID,VIEW_ACTVSUBACTV_PCI,TABLEID,71,banking_rule,Primary customer identifier for ANB banking system,banking_rules,false,2,71,true,10,,2,2025-06-17T14:39:49.661046,1,false
1,ACCOUNT_ACH_BATCH_LIMIT_REPORT,COMPANY_ID,ACCOUNT_ACH_BATCH_LIMIT_REPORT.COMPANY_ID,VIEW_ACHFILERECORDWAREHOUSE,COMPANYID,90,banking_rule,Limit amount for transaction controls,banking_rules,false,1,90,false,10,,2,2025-06-17T14:39:51.708213,1,false
2,ACCOUNT_ACH_BATCH_LIMIT_REPORT,COMPANY_NAME,ACCOUNT_ACH_BATCH_LIMIT_REPORT.COMPANY_NAME,VIEW_ACHFILERECORDWAREHOUSE,COMPANYNAME,89,banking_rule,Limit amount for transaction controls,banking_rules,false,1,89,false,10,,2,2025-06-17T14:39:53.912697,1,false
3,ACCOUNT_ACH_BATCH_LIMIT_REPORT,ACH_COMPANY_ID,ACCOUNT_ACH_BATCH_LIMIT_REPORT.ACH_COMPANY_ID,VIEW_ACHFILERECORDWAREHOUSE,COMPANYID,73,banking_rule,Limit amount for transaction controls,banking_rules,false,2,73,true,10,,2,2025-06-17T14:39:58.296029,1,false
4,ACCOUNT_ACH_BATCH_LIMIT_REPORT,ACH_COMPANY_NAME,ACCOUNT_ACH_BATCH_LIMIT_REPORT.ACH_COMPANY_NAME,VIEW_ACHFILERECORDWAREHOUSE,COMPANYNAME,75,banking_rule,Limit amount for transaction controls,banking_rules,false,2,75,true,10,,2,2025-06-17T14:40:02.879428,1,false
5,ACCOUNT_ACH_BATCH_LIMIT_REPORT,MARKET_SEGMENT,ACCOUNT_ACH_BATCH_LIMIT_REPORT.MARKET_SEGMENT,WH_DEPOSIT,RETIREMENT,64,banking_rule,Limit amount for transaction controls,banking_rules,false,2,64,true,10,,2,2025-06-17T14:40:07.145783,1,false
6,ACCOUNT_ACH_BATCH_LIMIT_REPORT,BUSINESS_UNIT,ACCOUNT_ACH_BATCH_LIMIT_REPORT.BUSINESS_UNIT,VIEW_WH_ACCTCOMMON,BUSINESSPHONE,73,banking_rule,Limit amount for transaction controls,banking_rules,false,2,73,true,10,,2,2025-06-17T14:40:11.294761,1,false
7,ACCOUNT_ACH_BATCH_LIMIT_REPORT,TOTAL_DAILY_TRANSACTION_CREDIT_AMOUNT,ACCOUNT_ACH_BATCH_LIMIT_REPORT.TOTAL_DAILY_TRANSACTION_CREDIT_AMOUNT,WH_ACCT,TRANSACTIONACCTYN,53,banking_rule,Credit transaction indicator for accounting,banking_rules,false,2,53,true,7,,2,2025-06-17T14:40:17.511053,1,false
8,ACCOUNT_ACH_BATCH_LIMIT_REPORT,TOTAL_DAILY_TRANSACTION_DEBIT_AMOUNT,ACCOUNT_ACH_BATCH_LIMIT_REPORT.TOTAL_DAILY_TRANSACTION_DEBIT_AMOUNT,WH_ACCT,TRANSACTIONACCTYN,51,banking_rule,Debit transaction indicator for accounting,banking_rules,false,2,51,true,7,,2,2025-06-17T14:40:24.116260,1,false
9,ACCOUNT_ACH_BATCH_LIMIT_REPORT,TOTAL_DAILY_BATCH_CREDIT_COUNT,ACCOUNT_ACH_BATCH_LIMIT_REPORT.TOTAL_DAILY_BATCH_CREDIT_COUNT,WORKITEM,COLLBATCHRESULTNBR,50,banking_rule,Credit transaction indicator for accounting,banking_rules,false,2,50,true,10,,2,2025-06-17T14:40:30.239407,1,false
10,ACCOUNT_ACH_BATCH_LIMIT_REPORT,TOTAL_DAILY_BATCH_COUNT_DEBIT,ACCOUNT_ACH_BATCH_LIMIT_REPORT.TOTAL_DAILY_BATCH_COUNT_DEBIT,WH_ACCTLOAN,TOTALPAYMENTSDUE,45,banking_rule,Count of batch transactions for daily processing limits,banking_rules,false,2,45,true,6,,2,2025-06-17T14:40:36.484988,1,false
11,ACCOUNT_ACH_BATCH_LIMIT_REPORT,TOTAL_DAILY_BATCH_CREDIT_AMOUNT,ACCOUNT_ACH_BATCH_LIMIT_REPORT.TOTAL_DAILY_BATCH_CREDIT_AMOUNT,STAGLOANTRIAL,SOLDACCRUEDINTAMT,54,banking_rule,Credit transaction indicator for accounting,banking_rules,false,2,54,true,9,,2,2025-06-17T14:40:42.836635,1,false
12,ACCOUNT_ACH_BATCH_LIMIT_REPORT,TOTAL_DAILY_BATCH_DEBIT_AMOUNT,ACCOUNT_ACH_BATCH_LIMIT_REPORT.TOTAL_DAILY_BATCH_DEBIT_AMOUNT,VIEW_WH_CARDS2_PCI,COMBINEDDAILYWTHDLLIMITAMT,52,banking_rule,Debit transaction indicator for accounting,banking_rules,false,2,52,true,6,,2,2025-06-17T14:40:49.224428,1,false
13,ACCOUNT_ACH_BATCH_LIMIT_REPORT,SINGLE_BATCH_CREDIT_AMOUNT,ACCOUNT_ACH_BATCH_LIMIT_REPORT.SINGLE_BATCH_CREDIT_AMOUNT,STAGLOANTRIAL,SOLDACCRUEDINTAMT,56,banking_rule,Credit transaction indicator for accounting,banking_rules,false,2,56,true,10,,2,2025-06-17T14:40:54.593923,1,false
14,ACCOUNT_ACH_BATCH_LIMIT_REPORT,SINGLE_BATCH_DEBIT_AMOUNT,ACCOUNT_ACH_BATCH_LIMIT_REPORT.SINGLE_BATCH_DEBIT_AMOUNT,STAGLOANTRIAL,SINGLEACCTODLIMIT,56,banking_rule,Debit transaction indicator for accounting,banking_rules,false,2,56,true,7,,2,2025-06-17T14:41:00.499992,1,false
15,ACCOUNT_ACH_BATCH_LIMIT_REPORT,SINGLE_BATCH_ENTRY_CREDIT_AMOUNT,ACCOUNT_ACH_BATCH_LIMIT_REPORT.SINGLE_BATCH_ENTRY_CREDIT_AMOUNT,STAGLOANTRIAL,SOLDACCRUEDINTAMT,50,banking_rule,Credit transaction indicator for accounting,banking_rules,false,2,50,true,7,,2,2025-06-17T14:41:07.017318,1,false
16,ACCOUNT_ACH_BATCH_LIMIT_REPORT,SINGLE_BATCH_ENTRY_DEBIT_AMOUNT,ACCOUNT_ACH_BATCH_LIMIT_REPORT.SINGLE_BATCH_ENTRY_DEBIT_AMOUNT,STAGLOANTRIAL,SINGLEACCTODLIMIT,51,banking_rule,Debit transaction indicator for accounting,banking_rules,false,2,51,true,6,,2,2025-06-17T14:41:13.375303,1,false
17,ACCOUNT_ACH_BATCH_LIMIT_REPORT,SEC_CODES_CREDIT,ACCOUNT_ACH_BATCH_LIMIT_REPORT.SEC_CODES_CREDIT,STAGLOANTRIAL,ODEXCESSACCRUEDINT,57,banking_rule,Credit transaction indicator for accounting,banking_rules,false,2,57,true,10,,2,2025-06-17T14:41:18.687144,1,false
18,ACCOUNT_ACH_BATCH_LIMIT_REPORT,SEC_CODES_DEBIT,ACCOUNT_ACH_BATCH_LIMIT_REPORT.SEC_CODES_DEBIT,STAGSEARCHFORPARTY,SEARCHCONTENT,52,banking_rule,Debit transaction indicator for accounting,banking_rules,false,2,52,true,10,,2,2025-06-17T14:41:23.123578,1,false
19,ACCOUNT_ACH_BATCH_LIMIT_REPORT,ALLOW_MIXED,ACCOUNT_ACH_BATCH_LIMIT_REPORT.ALLOW_MIXED,RTXNTYP,ALLOWSWIMYN,62,banking_rule,Limit amount for transaction controls,banking_rules,false,2,62,true,10,,2,2025-06-17T14:41:27.292700,1,false
20,ACCOUNT_ACH_BATCH_LIMIT_REPORT,OFFSET_ACCOUNT,ACCOUNT_ACH_BATCH_LIMIT_REPORT.OFFSET_ACCOUNT,WH_TIMETRACK,RECCOUNT,63,banking_rule,Limit amount for transaction controls,banking_rules,false,2,63,true,10,,2,2025-06-17T14:41:31.740442,1,false
21,ACCOUNT_ACH_BATCH_LIMIT_REPORT,PROCESSING_TIME,ACCOUNT_ACH_BATCH_LIMIT_REPORT.PROCESSING_TIME,STAGLOANTRIAL,ODEXCESSINTRATE,63,banking_rule,Limit amount for transaction controls,banking_rules,false,2,63,true,10,,2,2025-06-17T14:41:36.354699,1,false
22,ACCOUNT_ACH_BATCH_LIMIT_REPORT,PROCESSING_DATE_OPTIONS,ACCOUNT_ACH_BATCH_LIMIT_REPORT.PROCESSING_DATE_OPTIONS,VIEW_ACCTGRPACCT,LSECINTOPTIONCD,54,banking_rule,Limit amount for transaction controls,banking_rules,false,2,54,true,10,,2,2025-06-17T14:41:42.081076,1,false
23,ACCOUNT_ACH_BATCH_LIMIT_REPORT,APPROVAL_REQUIRED,ACCOUNT_ACH_BATCH_LIMIT_REPORT.APPROVAL_REQUIRED,WH_PROP2,PROPVALUE,54,banking_rule,Limit amount for transaction controls,banking_rules,false,2,54,true,10,,2,2025-06-17T14:41:46.934446,1,false
24,ACCOUNT_ACH_BATCH_LIMIT_REPORT,PREFUNDING_REQUIRED,ACCOUNT_ACH_BATCH_LIMIT_REPORT.PREFUNDING_REQUIRED,WH_ACCT,OPENFUNDSOURCECD,54,banking_rule,Limit amount for transaction controls,banking_rules,false,2,54,true,10,,2,2025-06-17T14:41:51.935826,1,false
25,ACCOUNT_ACH_BATCH_LIMIT_REPORT,LAST_MODIFIED_BY,ACCOUNT_ACH_BATCH_LIMIT_REPORT.LAST_MODIFIED_BY,STAGBANKMATCH,LAST_NAME,56,banking_rule,Limit amount for transaction controls,banking_rules,false,2,56,true,10,,2,2025-06-17T14:41:56.150756,1,false
26,ACCOUNT_ACH_BATCH_LIMIT_REPORT,LAST_MODIFIED_TIME,ACCOUNT_ACH_BATCH_LIMIT_REPORT.LAST_MODIFIED_TIME,VIEW_CARDTXN_PCI,ELAPSEDTIME,48,banking_rule,Timestamp of the last modification to the record,banking_rules,false,2,48,true,10,,2,2025-06-17T14:42:01.308353,1,false
27,ACCOUNT_ACH_BATCH_LIMIT_REPORT,ADT_LOAD_DATE,ACCOUNT_ACH_BATCH_LIMIT_REPORT.ADT_LOAD_DATE,STAGLOANRATEPMTNOTICE,ADDDATE,52,banking_rule,Date when the audit record was loaded,banking_rules,false,2,52,true,10,,2,2025-06-17T14:42:05.524707,1,false
28,ACCOUNT_ACH_BATCH_LIMIT_REPORT,ADT_FILE_SOURCE,ACCOUNT_ACH_BATCH_LIMIT_REPORT.ADT_FILE_SOURCE,RTXNAGREEMENT,TRAN_SOURCE_KEY,59,banking_rule,Limit amount for transaction controls,banking_rules,false,2,59,true,10,,2,2025-06-17T14:42:09.648914,1,false
29,ACCOUNT_ACH_BATCH_LIMIT_REPORT,ADT_HASH_KEY,ACCOUNT_ACH_BATCH_LIMIT_REPORT.ADT_HASH_KEY,RTXNAGREEMENT,TRAN_SOURCE_KEY,54,banking_rule,Limit amount for transaction controls,banking_rules,false,2,54,true,10,,2,2025-06-17T14:42:13.732762,1,false
30,ACCOUNT_ACH_BATCH_LIMIT_REPORT,DBT_SCD_ID,ACCOUNT_ACH_BATCH_LIMIT_REPORT.DBT_SCD_ID,SDBTYP,SDBTYPDESC,55,banking_rule,Limit amount for transaction controls,banking_rules,false,2,55,true,10,,2,2025-06-17T14:42:17.833855,1,false
31,ACCOUNT_ACH_BATCH_LIMIT_REPORT,DBT_UPDATED_AT,ACCOUNT_ACH_BATCH_LIMIT_REPORT.DBT_UPDATED_AT,SP_DEBUG,DEBUGDATE,59,banking_rule,Limit amount for transaction controls,banking_rules,false,2,59,true,10,,2,2025-06-17T14:42:22.423202,1,false
32,ACCOUNT_ACH_BATCH_LIMIT_REPORT,DBT_VALID_FROM,ACCOUNT_ACH_BATCH_LIMIT_REPORT.DBT_VALID_FROM,CTRYTAXIDTYP,TAXIDFORMAT,54,banking_rule,Limit amount for transaction controls,banking_rules,false,2,54,true,10,,2,2025-06-17T14:42:26.661376,1,false
33,ACCOUNT_ACH_BATCH_LIMIT_REPORT,DBT_VALID_TO,ACCOUNT_ACH_BATCH_LIMIT_REPORT.DBT_VALID_TO,VIEW_ORGPAYEEORG,VALIDATIONDATE,56,banking_rule,Limit amount for transaction controls,banking_rules,false,2,56,true,10,,2,2025-06-17T14:42:30.957357,1,false
34,ACCOUNT_ACH_BATCH_LIMIT_REPORT,RECORD_SK,ACCOUNT_ACH_BATCH_LIMIT_REPORT.RECORD_SK,VIEW_FILERECORD,RECORDDATA,68,banking_rule,Limit amount for transaction controls,banking_rules,false,2,68,true,10,,2,2025-06-17T14:42:34.895419,1,false
35,ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,ANB_ID,ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.ANB_ID,VIEW_ACTVSUBACTV_PCI,TABLEID,71,banking_rule,Primary customer identifier for ANB banking system,banking_rules,false,2,71,true,10,,2,2025-06-17T14:42:38.781522,1,false
36,ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,ROW_NUM,ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.ROW_NUM,STAGSEARCHFORPARTY,ROWNUMBER,49,similarity_based,Similarity-based mapping with score: 0.497,rule_based,false,2,49,true,10,,2,2025-06-17T14:42:43.092375,1,false
37,ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,PROCESSING_DATE,ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.PROCESSING_DATE,STAGLOANTRIAL,ODEXCESSINTRATE,48,similarity_based,Similarity-based mapping with score: 0.480,rule_based,false,2,48,true,10,,2,2025-06-17T14:42:47.653627,1,false
38,ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,PAYMENT_ACH_BATCHES,ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.PAYMENT_ACH_BATCHES,WH_ACCTLOAN,LASTPAYMENTDATE,39,similarity_based,Similarity-based mapping with score: 0.395,rule_based,false,2,39,true,10,,2,2025-06-17T14:42:52.328364,1,false
39,ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,PAYMENT_ACH_ITEMS,ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.PAYMENT_ACH_ITEMS,WH_ACCTLOAN,LASTPAYMENTDATE,43,similarity_based,Similarity-based mapping with score: 0.432,rule_based,false,2,43,true,10,,2,2025-06-17T14:42:57.516647,1,false
40,ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,PAYMENT_TOTAL_CREDITS,ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.PAYMENT_TOTAL_CREDITS,WH_ACCTLOANPARTAGREE,PARTACCRUEDINT,55,banking_rule,Credit transaction indicator for accounting,banking_rules,false,2,55,true,10,,2,2025-06-17T14:43:02.672784,1,false
41,ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,PAYMENT_TOTAL_DEBITS,ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.PAYMENT_TOTAL_DEBITS,WH_ACCTLOAN,LASTPAYMENTDATE,54,banking_rule,Debit transaction indicator for accounting,banking_rules,false,2,54,true,10,,2,2025-06-17T14:43:07.649610,1,false
42,ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,SFT_ACH_BATCHES,ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.SFT_ACH_BATCHES,SLPSACAT,SLPSACATDESC,33,similarity_based,Similarity-based mapping with score: 0.332,rule_based,false,2,33,true,10,,2,2025-06-17T14:43:12.140800,1,false
43,ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,SFT_ACH_ITEMS,ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.SFT_ACH_ITEMS,RTXNFUNDTYP,NBROFITEMS,36,similarity_based,Similarity-based mapping with score: 0.368,rule_based,false,2,36,true,10,,2,2025-06-17T14:43:16.395882,1,false
44,ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,SFT_TOTAL_CREDITS,ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.SFT_TOTAL_CREDITS,STAGSEARCHFORPARTY,TOTALRESULTS,60,banking_rule,Credit transaction indicator for accounting,banking_rules,false,2,60,true,10,,2,2025-06-17T14:43:21.782591,1,false
45,ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,SFT_TOTAL_DEBITS,ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY.SFT_TOTAL_DEBITS,STAGSEARCHFORPARTY,TOTALRESULTS,58,banking_rule,Debit transaction indicator for accounting,banking_rules,false,2,58,true,10,,2,2025-06-17T14:43:26.741654,1,false
